as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-15,URA,FSY CN,FORSYS METALS CORP,,2597801,9968986.0,2996153.08,0.04,USD,,,,equity,web_csv
2026-06-15,URA,FUU CN,F3 URANIUM CORP,,BMW5VG9,39084230.0,4335078.64,0.07,USD,,,,equity,web_csv
2026-06-15,URA,GLO CN,GLOBAL ATOMIC CORP,,BF11BK3,25103348.0,12215304.05,0.18,USD,,,,equity,web_csv
2026-06-15,URA,ISO CN,ISOENERGY LTD,,BTTRKM6,2206732.0,25028947.15,0.38,USD,,,,equity,web_csv
2026-06-15,URA,KAP LI,NAC KAZATOMPROM JSC-GDR REGS,,BGXQL36,4213307.0,309678064.5,4.66,USD,,,,equity,web_csv
2026-06-15,URA,LAM CN,LARAMIDE RESOURCES,,2507952,13158353.0,6214542.9,0.09,USD,,,,equity,web_csv
2026-06-15,URA,LEU,CENTRUS ENERGY CORP-CLASS A,,BQXKDH6,1090354.0,192611034.1,2.9,USD,,,,equity,web_csv
2026-06-15,URA,LI CN,AMERICAN LITHIUM CORP,,BF4XHL9,15246694.0,5673391.45,0.09,USD,,,,equity,web_csv
2026-06-15,URA,LOT AU,LOTUS RESOURCES LTD,,BK6XLC1,13981832.0,5746786.31,0.09,USD,,,,equity,web_csv
2026-06-15,URA,MGA CN,MEGA URANIUM LTD,,2817833,21544376.0,9558490.91,0.14,USD,,,,equity,web_csv
2026-06-15,URA,NNE,NANO NUCLEAR ENERGY INC,,BPDH477,2641816.0,66256745.28,1.0,USD,,,,equity,web_csv
2026-06-15,URA,NXE CN,NEXGEN ENERGY LTD,,B987K72,38480193.0,406706823.58,6.11,USD,,,,equity,web_csv
2026-06-15,URA,OKLO,OKLO INC,,BMD78K7,7740926.0,470183845.24,7.07,USD,,,,equity,web_csv
2026-06-15,URA,PDN AU,PALADIN ENERGY LTD,,6668468,28665358.0,212481943.32,3.19,USD,,,,equity,web_csv
2026-06-15,URA,PEN AU,PENINSULA ENERGY LTD,,6486381,18945843.0,5638923.46,0.09,USD,,,,equity,web_csv
2026-06-15,URA,SASK CN,ATHA ENERGY CORP,,BNQNDF9,20247936.0,15938122.72,0.24,USD,,,,equity,web_csv
2026-06-15,URA,SLX AU,SILEX SYSTEMS LTD,,6111735,14694292.0,57688786.77,0.87,USD,,,,equity,web_csv
2026-06-15,URA,SMR,NUSCALE POWER CORP,AU000000SMR4,BNXK803,9922659.0,105577091.76,1.59,USD,,,,equity,web_csv
2026-06-15,URA,SSW SJ,SIBANYE STILLWATER LTD,ZAE000259701,BL0L913,33548454.0,90015379.12,1.35,USD,,,,equity,web_csv
2026-06-15,URA,SYH CN,SKYHARBOUR RESOURCES LTD,,BDFGHL3,12949940.0,3938405.31,0.06,USD,,,,equity,web_csv
2026-06-15,URA,U-U CN,SPROTT PHYSICAL URANIUM TR,,BNZKG52,15911020.0,309123183.66,4.65,USD,,,,equity,web_csv
2026-06-15,URA,UEC,URANIUM ENERGY CORP,,B0VLLY2,29873080.0,351606151.6,5.29,USD,,,,equity,web_csv
2026-06-15,URA,URC CN,URANIUM ROYALTY CORP,,BKMD921,7622272.0,23126718.87,0.35,USD,,,,equity,web_csv
2026-06-15,URA,URG,UR-ENERGY INC,,B0WW4L2,22723819.0,38630492.3,0.58,USD,,,,equity,web_csv
2026-06-15,URA,WUC CN,WESTERN URANIUM & VANADIUM C,,BF39VJ4,4329163.0,1951678.19,0.03,USD,,,,equity,web_csv
2026-06-15,URA,YCA LN,YELLOW CAKE PLC,,BF50RG4,15564999.0,119030769.85,1.79,USD,,,,equity,web_csv
2026-06-15,URA,,OTHER PAYABLE & RECEIVABLES,,,-85226.39,-85226.39,-0.0,USD,,,,cash,web_csv
2026-06-15,URA,,SOUTH AFRICAN RAND,,,-673258.78,-41604.13,-0.0,USD,,,,fx,web_csv
2026-06-15,URA,,CANADIAN DOLLAR,,,-0.01,-0.01,0.0,USD,,,,fx,web_csv
2026-06-15,URA,,CASH,CASH,,491508.02,491508.02,0.01,USD,,,,cash,web_csv
2026-06-17,URA,000720 KS,HYUNDAI ENGINEERING & CONST,,6450988,2142802.0,197285075.08,2.99,USD,,,,equity,web_csv
2026-06-17,URA,006360 KS,GS ENGINEERING & CONSTRUCT,,6537096,4246611.0,82658753.44,1.25,USD,,,,equity,web_csv
2026-06-17,URA,028260 KS,SAMSUNG C&T CORP,,BSXN8K7,748473.0,242400376.73,3.67,USD,,,,equity,web_csv
2026-06-17,URA,034020 KS,DOOSAN ENERBILITY CO LTD,,6294670,2391835.0,163144330.47,2.47,USD,,,,equity,web_csv
2026-06-17,URA,047040 KS,DAEWOO ENGINEERING & CONSTR,,6344122,13242249.0,217057353.07,3.29,USD,,,,equity,web_csv
2026-06-17,URA,052690 KS,KEPCO ENGINEERING & CONSTRUC,,B4LW1M1,1204167.0,107682614.08,1.63,USD,,,,equity,web_csv
2026-06-17,URA,1164 HK,CGN MINING CO LTD,,B755514,172359700.0,66873443.01,1.01,USD,,,,equity,web_csv
2026-06-17,URA,7011 JP,MITSUBISHI HEAVY INDUSTRIES,,6597067,4810144.0,115809485.98,1.75,USD,,,,equity,web_csv
2026-06-17,URA,8001 JP,ITOCHU CORP,,6467803,10989823.0,127531986.22,1.93,USD,,,,equity,web_csv
2026-06-17,URA,AEC CN,ANFIELD ENERGY INC,,BRT7VZ2,665795.0,2991590.11,0.04,USD,,,,equity,web_csv
2026-06-17,URA,AEE AU,AURA ENERGY LTD,,B14Z2S9,48279526.0,3923694.54,0.06,USD,,,,equity,web_csv
2026-06-17,URA,AEU AU,ATOMIC EAGLE LTD,,BSQM0M7,13840936.0,4695058.96,0.07,USD,,,,equity,web_csv
2026-06-17,URA,AGE AU,ALLIGATOR ENERGY LTD,,B55ZH25,261092401.0,9594711.67,0.14,USD,,,,equity,web_csv
2026-06-17,URA,ARE CN,AECON GROUP INC,,2699547,4009201.0,124813938.84,1.89,USD,,,,equity,web_csv
2026-06-17,URA,ASN AU,ANSON RESOURCES LTD,,BD8PFL3,72823731.0,2521757.71,0.04,USD,,,,equity,web_csv
2026-06-17,URA,BHP AU,BHP GROUP LTD,AU000000BHP4,6144690,4403094.0,204093860.53,3.09,USD,,,,equity,web_csv
2026-06-17,URA,BKY SM,BERKELEY ENERGIA LTD,,BYVQC08,28958588.0,9565043.26,0.14,USD,,,,equity,web_csv
2026-06-17,URA,BMN AU,BANNERMAN ENERGY LTD,,B07DXJ1,12009054.0,30043215.45,0.46,USD,,,,equity,web_csv
2026-06-17,URA,BOE AU,BOSS ENERGY LTD,,B1XLCQ6,25386817.0,22695153.82,0.34,USD,,,,equity,web_csv
2026-06-17,URA,CCO CN,CAMECO CORP,,2166160,14486477.0,1542565449.04,23.35,USD,,,,equity,web_csv
2026-06-17,URA,CVV CN,CANALASKA URANIUM LTD,,BR1YTV3,13168537.0,4883845.12,0.07,USD,,,,equity,web_csv
2026-06-17,URA,DML CN,DENISON MINES CORP,,2003223,57811093.0,193377095.91,2.93,USD,,,,equity,web_csv
2026-06-17,URA,DYL AU,DEEP YELLOW LTD,,6480275,58675617.0,69248199.96,1.05,USD,,,,equity,web_csv
2026-06-17,URA,EFR CN,ENERGY FUELS INC,,BFV4XV7,15094113.0,232747110.09,3.52,USD,,,,equity,web_csv
2026-06-17,URA,EL8 AU,ELEVATE URANIUM LTD,,BM8ZH21,26016050.0,4872160.48,0.07,USD,,,,equity,web_csv
2026-06-17,URA,EU CN,ENCORE ENERGY CORP,,BN48958,11713971.0,19215557.59,0.29,USD,,,,equity,web_csv
2026-06-17,URA,FSY CN,FORSYS METALS CORP,,2597801,9968986.0,3448369.03,0.05,USD,,,,equity,web_csv
2026-06-17,URA,FUU CN,F3 URANIUM CORP,,BMW5VG9,39084230.0,4320701.55,0.07,USD,,,,equity,web_csv
2026-06-17,URA,GLO CN,GLOBAL ATOMIC CORP,,BF11BK3,25103348.0,12174792.55,0.18,USD,,,,equity,web_csv
2026-06-17,URA,ISO CN,ISOENERGY LTD,,BTTRKM6,2206732.0,24788552.17,0.38,USD,,,,equity,web_csv
2026-06-17,URA,KAP LI,NAC KAZATOMPROM JSC-GDR REGS,,BGXQL36,4213307.0,301251450.5,4.56,USD,,,,equity,web_csv
2026-06-17,URA,LAM CN,LARAMIDE RESOURCES,,2507952,13158353.0,5724695.34,0.09,USD,,,,equity,web_csv
2026-06-17,URA,LEU,CENTRUS ENERGY CORP-CLASS A,,BQXKDH6,1090354.0,185698189.74,2.81,USD,,,,equity,web_csv
2026-06-17,URA,LI CN,AMERICAN LITHIUM CORP,,BF4XHL9,15246694.0,5545834.06,0.08,USD,,,,equity,web_csv
2026-06-17,URA,LOT AU,LOTUS RESOURCES LTD,,BK6XLC1,13981832.0,6521422.95,0.1,USD,,,,equity,web_csv
2026-06-17,URA,MGA CN,MEGA URANIUM LTD,,2817833,21544376.0,9526790.61,0.14,USD,,,,equity,web_csv
2026-06-17,URA,NNE,NANO NUCLEAR ENERGY INC,,BPDH477,2641816.0,66864362.96,1.01,USD,,,,equity,web_csv
2026-06-17,URA,NXE CN,NEXGEN ENERGY LTD,,B987K72,38480193.0,407004680.26,6.16,USD,,,,equity,web_csv
2026-06-17,URA,OKLO,OKLO INC,,BMD78K7,7740926.0,455321267.32,6.89,USD,,,,equity,web_csv
2026-06-17,URA,PDN AU,PALADIN ENERGY LTD,,6668468,28665358.0,215745293.53,3.27,USD,,,,equity,web_csv
2026-06-17,URA,PEN AU,PENINSULA ENERGY LTD,,6486381,18945843.0,5891161.97,0.09,USD,,,,equity,web_csv
2026-06-17,URA,SASK CN,ATHA ENERGY CORP,,BNQNDF9,20247936.0,15740853.18,0.24,USD,,,,equity,web_csv
2026-06-17,URA,SLX AU,SILEX SYSTEMS LTD,,6111735,14694292.0,60333587.64,0.91,USD,,,,equity,web_csv
2026-06-17,URA,SMR,NUSCALE POWER CORP,AU000000SMR4,BNXK803,9922659.0,102600294.06,1.55,USD,,,,equity,web_csv
2026-06-17,URA,SSW SJ,SIBANYE STILLWATER LTD,ZAE000259701,BL0L913,33548454.0,89434902.24,1.35,USD,,,,equity,web_csv
2026-06-17,URA,SYH CN,SKYHARBOUR RESOURCES LTD,,BDFGHL3,12949940.0,3879163.26,0.06,USD,,,,equity,web_csv
2026-06-17,URA,U-U CN,SPROTT PHYSICAL URANIUM TR,,BNZKG52,15911020.0,303672273.87,4.6,USD,,,,equity,web_csv
2026-06-17,URA,UEC,URANIUM ENERGY CORP,,B0VLLY2,29873080.0,341150573.6,5.16,USD,,,,equity,web_csv
2026-06-17,URA,URC CN,URANIUM ROYALTY CORP,,BKMD921,7622272.0,23213109.94,0.35,USD,,,,equity,web_csv
2026-06-17,URA,URG,UR-ENERGY INC,,B0WW4L2,22723819.0,35221919.45,0.53,USD,,,,equity,web_csv
2026-06-17,URA,WUC CN,WESTERN URANIUM & VANADIUM C,,BF39VJ4,4329163.0,1976081.82,0.03,USD,,,,equity,web_csv
2026-06-17,URA,YCA LN,YELLOW CAKE PLC,,BF50RG4,15564999.0,117889810.68,1.78,USD,,,,equity,web_csv
2026-06-17,URA,,CASH,CASH,,519243.84,519243.84,0.01,USD,,,,cash,web_csv
2026-06-17,URA,,CANADIAN DOLLAR,,,-0.01,-0.01,0.0,USD,,,,fx,web_csv
2026-06-17,URA,,SOUTH AFRICAN RAND,,,-673258.78,-41604.13,-0.0,USD,,,,fx,web_csv
2026-06-17,URA,,OTHER PAYABLE & RECEIVABLES,,,-307890.97,-307890.97,-0.01,USD,,,,cash,web_csv
2026-06-18,URA,ASN AU,ANSON RESOURCES LTD,,BD8PFL3,72823731.0,2613181.46,0.04,USD,,,,equity,web_csv
2026-06-18,URA,WUC CN,WESTERN URANIUM & VANADIUM C,,BF39VJ4,4329163.0,1962296.34,0.03,USD,,,,equity,web_csv
2026-06-18,URA,,CASH,CASH,,519243.75,519243.75,0.01,USD,,,,cash,web_csv
2026-06-18,URA,,CANADIAN DOLLAR,,,-0.01,-0.01,0.0,USD,,,,fx,web_csv
2026-06-18,URA,,SOUTH AFRICAN RAND,,,-673258.78,-41052.36,-0.0,USD,,,,fx,web_csv
2026-06-18,URA,,OTHER PAYABLE & RECEIVABLES,,,-430795.31,-430795.31,-0.01,USD,,,,cash,web_csv
2026-06-18,URA,CCO CN,CAMECO CORP,,2166160,14486477.0,1543705746.96,23.24,USD,,,,equity,web_csv
2026-06-18,URA,OKLO,OKLO INC,,BMD78K7,7740926.0,473512443.42,7.13,USD,,,,equity,web_csv
2026-06-18,URA,NXE CN,NEXGEN ENERGY LTD,,B987K72,38480193.0,409888524.89,6.17,USD,,,,equity,web_csv
2026-06-18,URA,UEC,URANIUM ENERGY CORP,,B0VLLY2,29873080.0,358775690.8,5.4,USD,,,,equity,web_csv
2026-06-18,URA,KAP LI,NAC KAZATOMPROM JSC-GDR REGS,,BGXQL36,4213307.0,302094111.9,4.55,USD,,,,equity,web_csv
2026-06-18,URA,U-U CN,SPROTT PHYSICAL URANIUM TR,,BNZKG52,15911020.0,301441116.9,4.54,USD,,,,equity,web_csv
2026-06-18,URA,EFR CN,ENERGY FUELS INC,,BFV4XV7,15094113.0,250045187.91,3.77,USD,,,,equity,web_csv
2026-06-18,URA,028260 KS,SAMSUNG C&T CORP,,BSXN8K7,748473.0,237948886.16,3.58,USD,,,,equity,web_csv
2026-06-18,URA,LEU,CENTRUS ENERGY CORP-CLASS A,,BQXKDH6,1090354.0,208682852.06,3.14,USD,,,,equity,web_csv
2026-06-18,URA,PDN AU,PALADIN ENERGY LTD,,6668468,28665358.0,203504961.95,3.06,USD,,,,equity,web_csv
2026-06-18,URA,BHP AU,BHP GROUP LTD,AU000000BHP4,6144690,4403094.0,201495316.66,3.03,USD,,,,equity,web_csv
2026-06-18,URA,047040 KS,DAEWOO ENGINEERING & CONSTR,,6344122,13242249.0,199004429.53,3.0,USD,,,,equity,web_csv
2026-06-18,URA,DML CN,DENISON MINES CORP,,2003223,57811093.0,193256389.36,2.91,USD,,,,equity,web_csv
2026-06-18,URA,000720 KS,HYUNDAI ENGINEERING & CONST,,6450988,2142802.0,186897964.44,2.81,USD,,,,equity,web_csv
2026-06-18,URA,034020 KS,DOOSAN ENERBILITY CO LTD,,6294670,2391835.0,155994346.33,2.35,USD,,,,equity,web_csv
2026-06-18,URA,8001 JP,ITOCHU CORP,,6467803,10989823.0,127825182.35,1.92,USD,,,,equity,web_csv
2026-06-18,URA,ARE CN,AECON GROUP INC,,2699547,4009201.0,125164191.42,1.88,USD,,,,equity,web_csv
2026-06-18,URA,7011 JP,MITSUBISHI HEAVY INDUSTRIES,,6597067,4810144.0,118653806.99,1.79,USD,,,,equity,web_csv
2026-06-18,URA,SMR,NUSCALE POWER CORP,AU000000SMR4,BNXK803,9922659.0,116492016.66,1.75,USD,,,,equity,web_csv
2026-06-18,URA,YCA LN,YELLOW CAKE PLC,,BF50RG4,15564999.0,113339874.51,1.71,USD,,,,equity,web_csv
2026-06-18,URA,052690 KS,KEPCO ENGINEERING & CONSTRUC,,B4LW1M1,1204167.0,107788775.76,1.62,USD,,,,equity,web_csv
2026-06-18,URA,SSW SJ,SIBANYE STILLWATER LTD,ZAE000259701,BL0L913,33548454.0,82030061.3,1.24,USD,,,,equity,web_csv
2026-06-18,URA,006360 KS,GS ENGINEERING & CONSTRUCT,,6537096,4246611.0,77026568.9,1.16,USD,,,,equity,web_csv
2026-06-18,URA,NNE,NANO NUCLEAR ENERGY INC,,BPDH477,2641816.0,74525629.36,1.12,USD,,,,equity,web_csv
2026-06-18,URA,DYL AU,DEEP YELLOW LTD,,6480275,58675617.0,71008866.25,1.07,USD,,,,equity,web_csv
2026-06-18,URA,1164 HK,CGN MINING CO LTD,,B755514,172359700.0,63774617.39,0.96,USD,,,,equity,web_csv
2026-06-18,URA,SLX AU,SILEX SYSTEMS LTD,,6111735,14694292.0,59655562.56,0.9,USD,,,,equity,web_csv
2026-06-18,URA,URG,UR-ENERGY INC,,B0WW4L2,22723819.0,34085728.5,0.51,USD,,,,equity,web_csv
2026-06-18,URA,BMN AU,BANNERMAN ENERGY LTD,,B07DXJ1,12009054.0,29742531.33,0.45,USD,,,,equity,web_csv
2026-06-18,URA,ISO CN,ISOENERGY LTD,,BTTRKM6,2206732.0,26412954.28,0.4,USD,,,,equity,web_csv
2026-06-18,URA,URC CN,URANIUM ROYALTY CORP,,BKMD921,7622272.0,22511331.31,0.34,USD,,,,equity,web_csv
2026-06-18,URA,BOE AU,BOSS ENERGY LTD,,B1XLCQ6,25386817.0,21613250.62,0.33,USD,,,,equity,web_csv
2026-06-18,URA,EU CN,ENCORE ENERGY CORP,,BN48958,11713971.0,19247432.78,0.29,USD,,,,equity,web_csv
2026-06-18,URA,SASK CN,ATHA ENERGY CORP,,BNQNDF9,20247936.0,17638699.16,0.27,USD,,,,equity,web_csv
2026-06-18,URA,GLO CN,GLOBAL ATOMIC CORP,,BF11BK3,25103348.0,14223363.72,0.21,USD,,,,equity,web_csv
2026-06-18,URA,MGA CN,MEGA URANIUM LTD,,2817833,21544376.0,10223259.97,0.15,USD,,,,equity,web_csv
2026-06-18,URA,BKY SM,BERKELEY ENERGIA LTD,,BYVQC08,28958588.0,9562723.6,0.14,USD,,,,equity,web_csv
2026-06-18,URA,AGE AU,ALLIGATOR ENERGY LTD,,B55ZH25,261092401.0,9552653.88,0.14,USD,,,,equity,web_csv
2026-06-18,URA,PEN AU,PENINSULA ENERGY LTD,,6486381,18945843.0,6998415.19,0.1,USD,,,,equity,web_csv
2026-06-18,URA,LAM CN,LARAMIDE RESOURCES,,2507952,13158353.0,6523493.82,0.1,USD,,,,equity,web_csv
2026-06-18,URA,LOT AU,LOTUS RESOURCES LTD,,BK6XLC1,13981832.0,6492836.72,0.1,USD,,,,equity,web_csv
2026-06-18,URA,AEU AU,ATOMIC EAGLE LTD,,BSQM0M7,13840936.0,5258788.29,0.08,USD,,,,equity,web_csv
2026-06-18,URA,LI CN,AMERICAN LITHIUM CORP,,BF4XHL9,15246694.0,5183195.67,0.08,USD,,,,equity,web_csv
2026-06-18,URA,EL8 AU,ELEVATE URANIUM LTD,,BM8ZH21,26016050.0,4942328.29,0.07,USD,,,,equity,web_csv
2026-06-18,URA,FUU CN,F3 URANIUM CORP,,BMW5VG9,39084230.0,4567369.91,0.07,USD,,,,equity,web_csv
2026-06-18,URA,CVV CN,CANALASKA URANIUM LTD,,BR1YTV3,13168537.0,4383450.12,0.07,USD,,,,equity,web_csv
2026-06-18,URA,SYH CN,SKYHARBOUR RESOURCES LTD,,BDFGHL3,12949940.0,4173110.03,0.06,USD,,,,equity,web_csv
2026-06-18,URA,FSY CN,FORSYS METALS CORP,,2597801,9968986.0,3742032.35,0.06,USD,,,,equity,web_csv
2026-06-18,URA,AEC CN,ANFIELD ENERGY INC,,BRT7VZ2,665795.0,3579010.62,0.05,USD,,,,equity,web_csv
2026-06-18,URA,AEE AU,AURA ENERGY LTD,,B14Z2S9,48279526.0,3362982.9,0.05,USD,,,,equity,web_csv
2026-06-22,URA,MGA CN,MEGA URANIUM LTD,,2817833,21457072.0,8945500.62,0.14,USD,,,,equity,web_csv
2026-06-22,URA,AGE AU,ALLIGATOR ENERGY LTD,,B55ZH25,260036521.0,7656550.89,0.12,USD,,,,equity,web_csv
2026-06-22,URA,LOT AU,LOTUS RESOURCES LTD,,BK6XLC1,13922920.0,6442045.67,0.1,USD,,,,equity,web_csv
2026-06-22,URA,PEN AU,PENINSULA ENERGY LTD,,6486381,18869235.0,6151156.58,0.1,USD,,,,equity,web_csv
2026-06-22,URA,LAM CN,LARAMIDE RESOURCES,,2507952,13105153.0,5741375.68,0.09,USD,,,,equity,web_csv
2026-06-22,URA,LI CN,AMERICAN LITHIUM CORP,,BF4XHL9,15184534.0,5150209.38,0.08,USD,,,,equity,web_csv
2026-06-22,URA,AEU AU,ATOMIC EAGLE LTD,,BSQM0M7,13772280.0,4682708.44,0.07,USD,,,,equity,web_csv
2026-06-22,URA,EL8 AU,ELEVATE URANIUM LTD,,BM8ZH21,25910826.0,4450377.78,0.07,USD,,,,equity,web_csv
2026-06-22,URA,CVV CN,CANALASKA URANIUM LTD,,BR1YTV3,13115281.0,4402033.97,0.07,USD,,,,equity,web_csv
2026-06-22,URA,FUU CN,F3 URANIUM CORP,,BMW5VG9,38926198.0,4125868.92,0.06,USD,,,,equity,web_csv
2026-06-22,URA,SYH CN,SKYHARBOUR RESOURCES LTD,,BDFGHL3,12897580.0,3691011.8,0.06,USD,,,,equity,web_csv
2026-06-22,URA,AEE AU,AURA ENERGY LTD,,B14Z2S9,48058942.0,3537635.15,0.06,USD,,,,equity,web_csv
2026-06-22,URA,FSY CN,FORSYS METALS CORP,,2597801,9925082.0,3366336.46,0.05,USD,,,,equity,web_csv
2026-06-22,URA,AEC CN,ANFIELD ENERGY INC,,BRT7VZ2,663107.0,3050329.68,0.05,USD,,,,equity,web_csv
2026-06-22,URA,ASN AU,ANSON RESOURCES LTD,,BD8PFL3,72478323.0,2438927.61,0.04,USD,,,,equity,web_csv
2026-06-22,URA,WUC CN,WESTERN URANIUM & VANADIUM C,,BF39VJ4,4311635.0,1919396.59,0.03,USD,,,,equity,web_csv
2026-06-22,URA,,OTHER PAYABLE & RECEIVABLES,CASH,,1289826.14,1289826.14,0.02,USD,,,,cash,web_csv
2026-06-22,URA,,CANADIAN DOLLAR,,,-0.01,-0.01,0.0,USD,,,,fx,web_csv
2026-06-22,URA,,SOUTH AFRICAN RAND,,,-673258.78,-41096.09,-0.0,USD,,,,fx,web_csv
2026-06-22,URA,,JAPANESE YEN,,,-12751988.0,-79050.23,-0.0,USD,,,,fx,web_csv
2026-06-22,URA,,CASH,CASH,,-820234.24,-820234.24,-0.01,USD,,,,cash,web_csv
2026-06-22,URA,CCO CN,CAMECO CORP,,2166160,14427789.0,1546970536.22,23.96,USD,,,,equity,web_csv
2026-06-22,URA,OKLO,OKLO INC,,BMD78K7,7709566.0,450238654.4,6.97,USD,,,,equity,web_csv
2026-06-22,URA,NXE CN,NEXGEN ENERGY LTD,,B987K72,38324513.0,400793380.72,6.21,USD,,,,equity,web_csv
2026-06-22,URA,UEC,URANIUM ENERGY CORP,,B0VLLY2,29752008.0,341255531.76,5.29,USD,,,,equity,web_csv
2026-06-22,URA,KAP LI,NAC KAZATOMPROM JSC-GDR REGS,,BGXQL36,4196283.0,300453862.8,4.65,USD,,,,equity,web_csv
2026-06-22,URA,U-U CN,SPROTT PHYSICAL URANIUM TR,,BNZKG52,15846676.0,296509313.51,4.59,USD,,,,equity,web_csv
2026-06-22,URA,028260 KS,SAMSUNG C&T CORP,,BSXN8K7,745449.0,252168540.2,3.9,USD,,,,equity,web_csv
2026-06-22,URA,EFR CN,ENERGY FUELS INC,,BFV4XV7,15032961.0,242936558.84,3.76,USD,,,,equity,web_csv
2026-06-22,URA,LEU,CENTRUS ENERGY CORP-CLASS A,,BQXKDH6,1085930.0,199463622.4,3.09,USD,,,,equity,web_csv
2026-06-22,URA,PDN AU,PALADIN ENERGY LTD,,6668468,28549438.0,196743601.54,3.05,USD,,,,equity,web_csv
2026-06-22,URA,DML CN,DENISON MINES CORP,,2003223,57577293.0,189184859.0,2.93,USD,,,,equity,web_csv
2026-06-22,URA,047040 KS,DAEWOO ENGINEERING & CONSTR,,6344122,13188657.0,187036639.73,2.9,USD,,,,equity,web_csv
2026-06-22,URA,BHP AU,BHP GROUP LTD,AU000000BHP4,6144690,4385286.0,185503780.23,2.87,USD,,,,equity,web_csv
2026-06-22,URA,000720 KS,HYUNDAI ENGINEERING & CONST,,6450988,2134122.0,177427004.68,2.75,USD,,,,equity,web_csv
2026-06-22,URA,034020 KS,DOOSAN ENERBILITY CO LTD,,6294670,2382147.0,145978563.23,2.26,USD,,,,equity,web_csv
2026-06-22,URA,ARE CN,AECON GROUP INC,,2699547,3992961.0,125915677.66,1.95,USD,,,,equity,web_csv
2026-06-22,URA,8001 JP,ITOCHU CORP,,6467803,10945359.0,125354435.44,1.94,USD,,,,equity,web_csv
