as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-15,XME,RYZ,RYERSON HOLDING CORP,US7837541041,B3TPPZ6,1473217.0,,0.860262,USD,,,,equity,web_csv
2026-06-15,XME,STLD,STEEL DYNAMICS INC,US8581191009,2849472,1103785.0,,6.045375,USD,,,,equity,web_csv
2026-06-15,XME,SXC,SUNCOKE ENERGY INC,US86722A1034,B3R0638,4291876.0,,0.795378,USD,,,,equity,web_csv
2026-06-15,XME,UAMY,UNITED STATES ANTIMONY CORP,US9115491030,2910668,5436890.0,,0.818312,USD,,,,equity,web_csv
2026-06-15,XME,UEC,URANIUM ENERGY CORP,,B0VLLY2,14373897.0,,3.40422,USD,,,,equity,web_csv
2026-06-15,XME,URG,UR ENERGY INC,,B0WW4L2,19827691.0,,0.678247,USD,,,,equity,web_csv
2026-06-15,XME,USAR,USA RARE EARTH INC,US91733P1075,BSBGKF7,8291804.0,,3.840794,USD,,,,equity,web_csv
2026-06-15,XME,WS,WORTHINGTON STEEL INC,US9821041012,BS70KN1,1025816.0,,0.860534,USD,,,,equity,web_csv
2026-06-15,XME,,US DOLLAR,CASH,,-822.96,,-1.7e-05,USD,,,,fx,web_csv
2026-06-15,XME,,SSI US GOV MONEY MARKET CLASS,CASH,,705095.08,,0.014188,USD,,,,cash,web_csv
2026-06-17,XME,AA,ALCOA CORP,US0138721065,BYNF418,3076049.0,,3.881092,USD,,,,equity,web_csv
2026-06-17,XME,ABAT,AMERICAN BATTERY TECHNOLOGY,,BQC80B4,7492036.0,,0.474707,USD,,,,equity,web_csv
2026-06-17,XME,AMR,ALPHA METALLURGICAL RESOURCE,US0207641061,BMFND53,505223.0,,1.99681,USD,,,,equity,web_csv
2026-06-17,XME,BTU,PEABODY ENERGY CORP,,BDVPZV0,5913364.0,,3.101385,USD,,,,equity,web_csv
2026-06-17,XME,CDE,COEUR MINING INC,US1921085049,2208136,9125205.0,,3.269558,USD,,,,equity,web_csv
2026-06-17,XME,CENX,CENTURY ALUMINUM COMPANY,US1564311082,2186254,2547955.0,,2.828369,USD,,,,equity,web_csv
2026-06-17,XME,CLF,CLEVELAND CLIFFS INC,US1858991011,BYVZ186,21996149.0,,5.700729,USD,,,,equity,web_csv
2026-06-17,XME,CMC,COMMERCIAL METALS CO,US2017231034,2213260,3068181.0,,4.591717,USD,,,,equity,web_csv
2026-06-17,XME,CMP,COMPASS MINERALS INTERNATION,US20451N1019,2202763,1570241.0,,0.997818,USD,,,,equity,web_csv
2026-06-17,XME,CNR,CORE NATURAL RESOURCES INC,,BR1Z682,2130763.0,,3.771529,USD,,,,equity,web_csv
2026-06-17,XME,DC,DAKOTA GOLD CORP,US46655E1001,BMFTC10,4574601.0,,0.468442,USD,,,,equity,web_csv
2026-06-17,XME,FCX,FREEPORT MCMORAN INC,US35671D8570,2352118,3316976.0,,4.682021,USD,,,,equity,web_csv
2026-06-17,XME,HCC,WARRIOR MET COAL INC,US93627C1018,BF2X272,2410268.0,,4.68353,USD,,,,equity,web_csv
2026-06-17,XME,HL,HECLA MINING CO,US4227041062,2418601,9651592.0,,3.168173,USD,,,,equity,web_csv
2026-06-17,XME,HYMC,HYCROFT MINING HOLDING CO A,US44862P2083,BS70KX1,4344937.0,,2.270799,USD,,,,equity,web_csv
2026-06-17,XME,IDR,IDAHO STRATEGIC RESOURCES IN,US6458272050,BMB5CZ6,871429.0,,0.642811,USD,,,,equity,web_csv
2026-06-17,XME,IE,IVANHOE ELECTRIC INC / US,US46578C1080,BPF0KH6,7074943.0,,1.655743,USD,,,,equity,web_csv
2026-06-17,XME,KALU,KAISER ALUMINUM CORP,US4830077040,B15CJ33,662050.0,,2.441676,USD,,,,equity,web_csv
2026-06-17,XME,LEU,CENTRUS ENERGY CORP CLASS A,,BQXKDH6,1018865.0,,3.546674,USD,,,,equity,web_csv
2026-06-17,XME,LTBR,LIGHTBRIDGE CORP,,BKDNG30,1854158.0,,0.352068,USD,,,,equity,web_csv
2026-06-17,XME,METC,RAMACO RESOURCES INC A,US75134P6007,BRXYZ91,2060946.0,,0.612064,USD,,,,equity,web_csv
2026-06-17,XME,MP,MP MATERIALS CORP,US5533681012,BN15Y35,3279168.0,,4.077719,USD,,,,equity,web_csv
2026-06-17,XME,MTRN,MATERION CORP,US5766901012,2149622,531714.0,,2.868127,USD,,,,equity,web_csv
2026-06-17,XME,MTUS,METALLUS INC,US8873991033,BNBPMX1,1385068.0,,0.553738,USD,,,,equity,web_csv
2026-06-17,XME,MUX,MCEWEN INC,US58039P3055,BQGD8H7,3067964.0,,1.225291,USD,,,,equity,web_csv
2026-06-17,XME,NEM,NEWMONT CORP,US6516391066,2636607,1756548.0,,3.793815,USD,,,,equity,web_csv
2026-06-17,XME,NUE,NUCOR CORP,US6703461052,2651086,1188079.0,,6.133991,USD,,,,equity,web_csv
2026-06-17,XME,RGLD,ROYAL GOLD INC,US7802871084,2755706,740032.0,,3.303751,USD,,,,equity,web_csv
2026-06-17,XME,RS,RELIANCE INC,US7595091023,2729068,662546.0,,5.472428,USD,,,,equity,web_csv
2026-06-17,XME,RYZ,RYERSON HOLDING CORP,US7837541041,B3TPPZ6,1478581.0,,0.847398,USD,,,,equity,web_csv
2026-06-17,XME,STLD,STEEL DYNAMICS INC,US8581191009,2849472,1107805.0,,6.116466,USD,,,,equity,web_csv
2026-06-17,XME,SXC,SUNCOKE ENERGY INC,US86722A1034,B3R0638,4307512.0,,0.768609,USD,,,,equity,web_csv
2026-06-17,XME,UAMY,UNITED STATES ANTIMONY CORP,US9115491030,2910668,5456702.0,,0.854326,USD,,,,equity,web_csv
2026-06-17,XME,UEC,URANIUM ENERGY CORP,,B0VLLY2,14426235.0,,3.367314,USD,,,,equity,web_csv
2026-06-17,XME,URG,UR ENERGY INC,,B0WW4L2,19899871.0,,0.630444,USD,,,,equity,web_csv
2026-06-17,XME,USAR,USA RARE EARTH INC,US91733P1075,BSBGKF7,8321996.0,,4.005741,USD,,,,equity,web_csv
2026-06-17,XME,WS,WORTHINGTON STEEL INC,US9821041012,BS70KN1,1029551.0,,0.824894,USD,,,,equity,web_csv
2026-06-17,XME,,SSI US GOV MONEY MARKET CLASS,CASH,,703976.44,,0.014389,USD,,,,cash,web_csv
2026-06-17,XME,,US DOLLAR,CASH,,286750.46,,0.005861,USD,,,,fx,web_csv
