as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-15,LIT,300450 C2,WUXI LEAD INTELLIGENT EQUI-A,,BD6QWJ5,5505510.0,34703726.73,1.79,USD,,,,equity,web_csv
2026-06-15,LIT,300750 C2,CONTEMPORARY AMPEREX TECHN-A,,BHQPSY7,1149165.0,67692963.58,3.49,USD,,,,equity,web_csv
2026-06-15,LIT,373220 KS,LG ENERGY SOLUTION,,BNSP8W5,250839.0,69778909.43,3.6,USD,,,,equity,web_csv
2026-06-15,LIT,603659 C1,SHANGHAI PUTAILAI NEW ENERGY,,BF2DZJ5,5034228.0,21721477.39,1.12,USD,,,,equity,web_csv
2026-06-15,LIT,6752 JP,PANASONIC HOLDINGS CORPORATION,,6572707,4063737.0,101758369.99,5.24,USD,,,,equity,web_csv
2026-06-15,LIT,6762 JP,TDK CORP,,6869302,4784973.0,116711031.21,6.01,USD,,,,equity,web_csv
2026-06-15,LIT,ALB,ALBEMARLE CORP,US0126531013,2046853,623910.0,105378399.0,5.43,USD,,,,equity,web_csv
2026-06-15,LIT,AMG NA,AMG CRITICAL MATERIALS N.V.,NL0000888691,B1Z95S1,182724.0,7788215.2,0.4,USD,,,,equity,web_csv
2026-06-15,LIT,ELV AU,ELEVRA LITHIUM LTD,AU0000421851,BVBM1M0,790386.0,6883734.27,0.35,USD,,,,equity,web_csv
2026-06-15,LIT,ENS,ENERSYS,,B020GQ5,193351.0,44745288.42,2.31,USD,,,,equity,web_csv
2026-06-15,LIT,ERA FP,ERAMET,FR0000131757,4017017,45254.0,2784021.08,0.14,USD,,,,equity,web_csv
2026-06-15,LIT,EUR AU,EUROPEAN LITHIUM LTD,,BDGJNV3,7617656.0,2294263.32,0.12,USD,,,,fx,web_csv
2026-06-15,LIT,IGO AU,IGO LTD,AU000000IGO4,6439567,3575438.0,22803669.4,1.18,USD,,,,equity,web_csv
2026-06-15,LIT,INR AU,IONEER LTD,,BGYBHZ4,12701314.0,1305117.55,0.07,USD,,,,equity,web_csv
2026-06-15,LIT,LAC CN,LITHIUM AMERICAS CORP,CA53681J1030,BRBS357,1709970.0,7867978.89,0.41,USD,,,,equity,web_csv
2026-06-15,LIT,LAR CN,LITHIUM ARGENTINA AG,CH1403212751,BS891B2,727188.0,7123835.36,0.37,USD,,,,equity,web_csv
2026-06-15,LIT,LCID,LUCID GROUP INC,,BVY4KF9,966494.0,5074093.5,0.26,USD,,,,equity,web_csv
2026-06-15,LIT,LTR AU,LIONTOWN LTD,AU000000LTR4,B1J89V5,10831749.0,17194105.26,0.89,USD,,,,equity,web_csv
2026-06-15,LIT,MIN AU,MINERAL RESOURCES LTD,AU000000MIN4,B17ZL56,901945.0,45655560.69,2.35,USD,,,,equity,web_csv
2026-06-15,LIT,PLS AU,PLS GROUP LTD,AU000000PLS0,B2368L5,15581730.0,71552309.43,3.69,USD,,,,equity,web_csv
2026-06-15,LIT,PMET CN,PMET RESOURCES INC,,BRJJYV5,810933.0,3708083.92,0.19,USD,,,,equity,web_csv
2026-06-15,LIT,RIO,RIO TINTO PLC-SPON ADR,,2740434,3832135.0,405784775.15,20.91,USD,,,,equity,web_csv
2026-06-15,LIT,SGML,SIGMA LITHIUM CORP,CA8265991023,BNM4ZD8,293398.0,4518329.2,0.23,USD,,,,equity,web_csv
2026-06-15,LIT,SLI CN,STANDARD LITHIUM LTD,CA8536061010,BDSFRL7,1151102.0,4151528.91,0.21,USD,,,,equity,web_csv
2026-06-15,LIT,SQM,QUIMICA Y MINERA CHIL-SP ADR,US8336351056,2771122,754875.0,62858441.25,3.24,USD,,,,equity,web_csv
2026-06-15,LIT,TSLA,TESLA INC,,B616C79,196228.0,80679142.2,4.16,USD,,,,equity,web_csv
2026-06-15,LIT,VUL AU,VULCAN ENERGY RESOURCES LTD,AU0000066086,BKYBH63,1683629.0,4140081.09,0.21,USD,,,,equity,web_csv
2026-06-15,LIT,,CASH,CASH,,-83008.98,-83008.98,-0.0,USD,,,,cash,web_csv
2026-06-15,LIT,,CHINESE YUAN RENMINBI,,,80067.67,11847.48,0.0,USD,,,,fx,web_csv
2026-06-15,LIT,,KOREAN WON,,,1019642969.0,674545.49,0.04,USD,,,,fx,web_csv
2026-06-15,LIT,,OTHER PAYABLE & RECEIVABLES,,,429483.65,429483.65,0.02,USD,,,,cash,web_csv
2026-06-17,LIT,002176 C2,JIANGXI SPECIAL ELECTRIC -A,,BD5CC72,7185240.0,12211698.31,0.63,USD,,,,equity,web_csv
2026-06-17,LIT,002371 C2,NAURA TECHNOLOGY GROUP CO-A,,BD5LYF1,1100810.0,114666215.75,5.91,USD,,,,equity,web_csv
2026-06-17,LIT,002460 C2,GANFENG LITHIUM GROUP CO L-A,,BD5CB19,5650632.0,59610548.51,3.07,USD,,,,equity,web_csv
2026-06-17,LIT,002466 C2,TIANQI LITHIUM CORP-A,,BD5CKH8,5121493.0,48513506.45,2.5,USD,,,,equity,web_csv
2026-06-17,LIT,002709 C2,GUANGZHOU TINCI MATERIALS -A,,BD5LR63,6666085.0,52111142.83,2.69,USD,,,,equity,web_csv
2026-06-17,LIT,002738 C2,SINOMINE RESOURCE GROUP CO-A,CNE100001WV3,BNR4M32,3129056.0,28797719.78,1.49,USD,,,,equity,web_csv
2026-06-17,LIT,002812 C2,YUNNAN ENERGY NEW MATERIAL-A,,BFCCR30,2856459.0,29736648.29,1.53,USD,,,,equity,web_csv
2026-06-17,LIT,006400 KS,SAMSUNG SDI CO LTD,,6771645,235109.0,85465928.62,4.41,USD,,,,equity,web_csv
2026-06-17,LIT,066970 KS,L&F CO LTD,,6578608,151375.0,14066969.6,0.72,USD,,,,equity,web_csv
2026-06-17,LIT,1211 HK,BYD CO LTD-H,SA123GA0ITH7,6536651,5285321.0,55245847.63,2.85,USD,,,,equity,web_csv
2026-06-17,LIT,2324825D AU,ESG MINERALS LTD,,BPGN3K8,397586.0,0.0,0.0,USD,,,,derivative,web_csv
2026-06-17,LIT,247540 KS,ECOPRO BM CO LTD,,BJ321P7,281078.0,33439550.56,1.72,USD,,,,equity,web_csv
2026-06-17,LIT,300014 C2,EVE ENERGY CO LTD-A,,BD5C7G6,7126094.0,71191371.88,3.67,USD,,,,equity,web_csv
2026-06-17,LIT,300207 C2,SUNWODA ELECTRONIC CO LTD-A,,BD5CCV6,7012691.0,21814172.07,1.12,USD,,,,equity,web_csv
2026-06-17,LIT,300450 C2,WUXI LEAD INTELLIGENT EQUI-A,,BD6QWJ5,5505510.0,39194775.06,2.02,USD,,,,equity,web_csv
2026-06-17,LIT,300750 C2,CONTEMPORARY AMPEREX TECHN-A,,BHQPSY7,1149165.0,67821914.48,3.5,USD,,,,equity,web_csv
2026-06-17,LIT,373220 KS,LG ENERGY SOLUTION,,BNSP8W5,250839.0,68968290.81,3.56,USD,,,,equity,web_csv
2026-06-17,LIT,603659 C1,SHANGHAI PUTAILAI NEW ENERGY,,BF2DZJ5,5034228.0,21974391.07,1.13,USD,,,,equity,web_csv
2026-06-17,LIT,6752 JP,PANASONIC HOLDINGS CORPORATION,,6572707,4063737.0,106456855.76,5.49,USD,,,,equity,web_csv
2026-06-17,LIT,6762 JP,TDK CORP,,6869302,4784973.0,114308102.85,5.89,USD,,,,equity,web_csv
2026-06-17,LIT,ALB,ALBEMARLE CORP,US0126531013,2046853,623910.0,103918449.6,5.36,USD,,,,equity,web_csv
2026-06-17,LIT,AMG NA,AMG CRITICAL MATERIALS N.V.,NL0000888691,B1Z95S1,182724.0,7771884.8,0.4,USD,,,,equity,web_csv
2026-06-17,LIT,ELV AU,ELEVRA LITHIUM LTD,AU0000421851,BVBM1M0,790386.0,6814491.0,0.35,USD,,,,equity,web_csv
2026-06-17,LIT,ENS,ENERSYS,,B020GQ5,193351.0,43971401.04,2.27,USD,,,,equity,web_csv
2026-06-17,LIT,ERA FP,ERAMET,FR0000131757,4017017,45254.0,2816410.5,0.14,USD,,,,equity,web_csv
2026-06-17,LIT,EUR AU,EUROPEAN LITHIUM LTD,,BDGJNV3,7617656.0,2180272.28,0.11,USD,,,,fx,web_csv
2026-06-17,LIT,IGO AU,IGO LTD,AU000000IGO4,6439567,3575438.0,22589214.17,1.17,USD,,,,equity,web_csv
2026-06-17,LIT,INR AU,IONEER LTD,,BGYBHZ4,12701314.0,1256640.47,0.07,USD,,,,equity,web_csv
2026-06-17,LIT,LAC CN,LITHIUM AMERICAS CORP,CA53681J1030,BRBS357,1709970.0,7597969.55,0.39,USD,,,,equity,web_csv
2026-06-17,LIT,LAR CN,LITHIUM ARGENTINA AG,CH1403212751,BS891B2,727188.0,6944616.87,0.36,USD,,,,equity,web_csv
2026-06-17,LIT,LCID,LUCID GROUP INC,,BVY4KF9,966494.0,4967779.16,0.26,USD,,,,equity,web_csv
2026-06-17,LIT,LTR AU,LIONTOWN LTD,AU000000LTR4,B1J89V5,10831749.0,16304689.91,0.84,USD,,,,equity,web_csv
2026-06-17,LIT,MIN AU,MINERAL RESOURCES LTD,AU000000MIN4,B17ZL56,901945.0,45873926.1,2.37,USD,,,,equity,web_csv
2026-06-17,LIT,PLS AU,PLS GROUP LTD,AU000000PLS0,B2368L5,15581730.0,70033711.51,3.61,USD,,,,equity,web_csv
2026-06-17,LIT,PMET CN,PMET RESOURCES INC,,BRJJYV5,810933.0,3580112.17,0.18,USD,,,,equity,web_csv
2026-06-17,LIT,RIO,RIO TINTO PLC-SPON ADR,,2740434,3832135.0,393445300.45,20.29,USD,,,,equity,web_csv
2026-06-17,LIT,SGML,SIGMA LITHIUM CORP,CA8265991023,BNM4ZD8,293398.0,4342290.4,0.22,USD,,,,equity,web_csv
2026-06-17,LIT,SLI CN,STANDARD LITHIUM LTD,CA8536061010,BDSFRL7,1151102.0,4006403.08,0.21,USD,,,,equity,web_csv
2026-06-17,LIT,SQM,QUIMICA Y MINERA CHIL-SP ADR,US8336351056,2771122,754875.0,62647076.25,3.23,USD,,,,equity,web_csv
2026-06-17,LIT,TSLA,TESLA INC,,B616C79,196228.0,77780854.64,4.01,USD,,,,equity,web_csv
2026-06-17,LIT,VUL AU,VULCAN ENERGY RESOURCES LTD,AU0000066086,BKYBH63,1683629.0,4164365.07,0.21,USD,,,,equity,web_csv
2026-06-17,LIT,,CASH,CASH,,601357.89,601357.89,0.03,USD,,,,cash,web_csv
2026-06-17,LIT,,OTHER PAYABLE & RECEIVABLES,,,408958.05,408958.05,0.02,USD,,,,cash,web_csv
2026-06-17,LIT,,CHINESE YUAN RENMINBI,,,80067.67,11843.28,0.0,USD,,,,fx,web_csv
2026-06-18,LIT,,CASH,CASH,,601357.89,601357.89,0.03,USD,,,,cash,web_csv
2026-06-18,LIT,,OTHER PAYABLE & RECEIVABLES,,,369529.54,369529.54,0.02,USD,,,,cash,web_csv
2026-06-18,LIT,,CHINESE YUAN RENMINBI,,,80067.67,11828.49,0.0,USD,,,,fx,web_csv
2026-06-18,LIT,2324825D AU,ESG MINERALS LTD,,BPGN3K8,397586.0,0.0,0.0,USD,,,,derivative,web_csv
2026-06-18,LIT,RIO,RIO TINTO PLC-SPON ADR,,2740434,3832135.0,383520070.8,20.18,USD,,,,equity,web_csv
2026-06-18,LIT,002371 C2,NAURA TECHNOLOGY GROUP CO-A,,BD5LYF1,1100810.0,117258410.32,6.17,USD,,,,equity,web_csv
2026-06-18,LIT,6762 JP,TDK CORP,,6869302,4784973.0,114671583.46,6.03,USD,,,,equity,web_csv
2026-06-18,LIT,6752 JP,PANASONIC HOLDINGS CORPORATION,,6572707,4063737.0,108755363.58,5.72,USD,,,,equity,web_csv
2026-06-18,LIT,ALB,ALBEMARLE CORP,US0126531013,2046853,623910.0,100043968.5,5.26,USD,,,,equity,web_csv
2026-06-18,LIT,006400 KS,SAMSUNG SDI CO LTD,,6771645,235109.0,80363355.27,4.23,USD,,,,equity,web_csv
2026-06-18,LIT,TSLA,TESLA INC,,B616C79,196228.0,78587351.72,4.13,USD,,,,equity,web_csv
2026-06-18,LIT,300014 C2,EVE ENERGY CO LTD-A,,BD5C7G6,7126094.0,70176084.69,3.69,USD,,,,equity,web_csv
2026-06-18,LIT,PLS AU,PLS GROUP LTD,AU000000PLS0,B2368L5,15581730.0,67643692.29,3.56,USD,,,,equity,web_csv
2026-06-18,LIT,300750 C2,CONTEMPORARY AMPEREX TECHN-A,,BHQPSY7,1149165.0,66472482.22,3.5,USD,,,,equity,web_csv
2026-06-18,LIT,373220 KS,LG ENERGY SOLUTION,,BNSP8W5,250839.0,65701208.13,3.46,USD,,,,equity,web_csv
2026-06-18,LIT,SQM,QUIMICA Y MINERA CHIL-SP ADR,US8336351056,2771122,754875.0,60155988.75,3.17,USD,,,,equity,web_csv
2026-06-18,LIT,002460 C2,GANFENG LITHIUM GROUP CO L-A,,BD5CB19,5650632.0,57899976.44,3.05,USD,,,,equity,web_csv
2026-06-18,LIT,1211 HK,BYD CO LTD-H,SA123GA0ITH7,6536651,5285321.0,54521215.27,2.87,USD,,,,equity,web_csv
2026-06-18,LIT,002709 C2,GUANGZHOU TINCI MATERIALS -A,,BD5LR63,6666085.0,50824952.81,2.67,USD,,,,equity,web_csv
2026-06-18,LIT,002466 C2,TIANQI LITHIUM CORP-A,,BD5CKH8,5121493.0,47045661.47,2.48,USD,,,,equity,web_csv
2026-06-18,LIT,MIN AU,MINERAL RESOURCES LTD,AU000000MIN4,B17ZL56,901945.0,44911309.44,2.36,USD,,,,equity,web_csv
2026-06-18,LIT,ENS,ENERSYS,,B020GQ5,193351.0,44074360.45,2.32,USD,,,,equity,web_csv
2026-06-18,LIT,300450 C2,WUXI LEAD INTELLIGENT EQUI-A,,BD6QWJ5,5505510.0,38007177.12,2.0,USD,,,,equity,web_csv
2026-06-18,LIT,247540 KS,ECOPRO BM CO LTD,,BJ321P7,281078.0,31712496.74,1.67,USD,,,,equity,web_csv
2026-06-18,LIT,002812 C2,YUNNAN ENERGY NEW MATERIAL-A,,BFCCR30,2856459.0,28568598.89,1.5,USD,,,,equity,web_csv
2026-06-18,LIT,002738 C2,SINOMINE RESOURCE GROUP CO-A,CNE100001WV3,BNR4M32,3129056.0,28063759.28,1.48,USD,,,,equity,web_csv
2026-06-18,LIT,603659 C1,SHANGHAI PUTAILAI NEW ENERGY,,BF2DZJ5,5034228.0,21939522.68,1.15,USD,,,,equity,web_csv
2026-06-18,LIT,IGO AU,IGO LTD,AU000000IGO4,6439567,3575438.0,21735491.27,1.14,USD,,,,equity,web_csv
2026-06-18,LIT,300207 C2,SUNWODA ELECTRONIC CO LTD-A,,BD5CCV6,7012691.0,21548662.34,1.13,USD,,,,equity,web_csv
2026-06-18,LIT,LTR AU,LIONTOWN LTD,AU000000LTR4,B1J89V5,10831749.0,15547308.7,0.82,USD,,,,equity,web_csv
2026-06-18,LIT,066970 KS,L&F CO LTD,,6578608,151375.0,12677773.96,0.67,USD,,,,equity,web_csv
2026-06-18,LIT,002176 C2,JIANGXI SPECIAL ELECTRIC -A,,BD5CC72,7185240.0,11782475.24,0.62,USD,,,,equity,web_csv
2026-06-18,LIT,AMG NA,AMG CRITICAL MATERIALS N.V.,NL0000888691,B1Z95S1,182724.0,7719224.84,0.41,USD,,,,equity,web_csv
2026-06-18,LIT,LAC CN,LITHIUM AMERICAS CORP,CA53681J1030,BRBS357,1709970.0,7496522.04,0.39,USD,,,,equity,web_csv
2026-06-18,LIT,ELV AU,ELEVRA LITHIUM LTD,AU0000421851,BVBM1M0,790386.0,6662274.52,0.35,USD,,,,equity,web_csv
2026-06-18,LIT,LAR CN,LITHIUM ARGENTINA AG,CH1403212751,BS891B2,727188.0,6648958.59,0.35,USD,,,,equity,web_csv
2026-06-18,LIT,LCID,LUCID GROUP INC,,BVY4KF9,966494.0,5180407.84,0.27,USD,,,,equity,web_csv
2026-06-18,LIT,SGML,SIGMA LITHIUM CORP,CA8265991023,BNM4ZD8,293398.0,4004882.7,0.21,USD,,,,equity,web_csv
2026-06-18,LIT,VUL AU,VULCAN ENERGY RESOURCES LTD,AU0000066086,BKYBH63,1683629.0,3980266.41,0.21,USD,,,,equity,web_csv
2026-06-18,LIT,SLI CN,STANDARD LITHIUM LTD,CA8536061010,BDSFRL7,1151102.0,3880622.91,0.2,USD,,,,equity,web_csv
2026-06-18,LIT,PMET CN,PMET RESOURCES INC,,BRJJYV5,810933.0,3463243.03,0.18,USD,,,,equity,web_csv
2026-06-18,LIT,ERA FP,ERAMET,FR0000131757,4017017,45254.0,2669093.53,0.14,USD,,,,equity,web_csv
2026-06-18,LIT,EUR AU,EUROPEAN LITHIUM LTD,,BDGJNV3,7617656.0,2277911.01,0.12,USD,,,,fx,web_csv
2026-06-18,LIT,INR AU,IONEER LTD,,BGYBHZ4,12701314.0,1206448.78,0.06,USD,,,,equity,web_csv
2026-06-22,LIT,ERA FP,ERAMET,FR0000131757,4017017,44514.0,2507673.12,0.13,USD,,,,equity,web_csv
2026-06-22,LIT,EUR AU,EUROPEAN LITHIUM LTD,,BDGJNV3,7495630.0,2180749.46,0.12,USD,,,,fx,web_csv
2026-06-22,LIT,INR AU,IONEER LTD,,BGYBHZ4,12472728.0,1224162.36,0.07,USD,,,,equity,web_csv
2026-06-22,LIT,,CASH,CASH,,206370.83,206370.83,0.01,USD,,,,cash,web_csv
2026-06-22,LIT,2324825D AU,ESG MINERALS LTD,,BPGN3K8,397586.0,0.0,0.0,USD,,,,derivative,web_csv
2026-06-22,LIT,,JAPANESE YEN,,,-3774082.0,-23395.73,-0.0,USD,,,,fx,web_csv
2026-06-22,LIT,,OTHER PAYABLE & RECEIVABLES,CASH,,-8650969.15,-8650969.15,-0.46,USD,,,,cash,web_csv
2026-06-22,LIT,RIO,RIO TINTO PLC-SPON ADR,,2740434,3770789.0,374665595.04,19.95,USD,,,,equity,web_csv
2026-06-22,LIT,002371 C2,NAURA TECHNOLOGY GROUP CO-A,,BD5LYF1,1082310.0,118977283.79,6.34,USD,,,,equity,web_csv
2026-06-22,LIT,6762 JP,TDK CORP,,6869302,4708272.0,118586052.98,6.32,USD,,,,equity,web_csv
2026-06-22,LIT,6752 JP,PANASONIC HOLDINGS CORPORATION,,6572707,3998728.0,108895094.1,5.8,USD,,,,equity,web_csv
2026-06-22,LIT,ALB,ALBEMARLE CORP,US0126531013,2046853,613920.0,96195124.8,5.12,USD,,,,equity,web_csv
2026-06-22,LIT,006400 KS,SAMSUNG SDI CO LTD,,6771645,231335.0,80211784.41,4.27,USD,,,,equity,web_csv
2026-06-22,LIT,TSLA,TESLA INC,,B616C79,193083.0,78208269.15,4.17,USD,,,,equity,web_csv
2026-06-22,LIT,300014 C2,EVE ENERGY CO LTD-A,,BD5C7G6,7011394.0,72657951.13,3.87,USD,,,,equity,web_csv
2026-06-22,LIT,300750 C2,CONTEMPORARY AMPEREX TECHN-A,,BHQPSY7,1130665.0,68232632.2,3.63,USD,,,,equity,web_csv
2026-06-22,LIT,373220 KS,LG ENERGY SOLUTION,,BNSP8W5,246843.0,61903445.55,3.3,USD,,,,equity,web_csv
2026-06-22,LIT,PLS AU,PLS GROUP LTD,AU000000PLS0,B2368L5,15331980.0,59439193.93,3.17,USD,,,,equity,web_csv
2026-06-22,LIT,002460 C2,GANFENG LITHIUM GROUP CO L-A,,BD5CB19,5561832.0,59130010.71,3.15,USD,,,,equity,web_csv
2026-06-22,LIT,SQM,QUIMICA Y MINERA CHIL-SP ADR,US8336351056,2771122,742776.0,58419332.4,3.11,USD,,,,equity,web_csv
2026-06-22,LIT,002709 C2,GUANGZHOU TINCI MATERIALS -A,,BD5LR63,6558785.0,54118613.74,2.88,USD,,,,equity,web_csv
2026-06-22,LIT,1211 HK,BYD CO LTD-H,SA123GA0ITH7,6536651,5200221.0,51966393.98,2.77,USD,,,,equity,web_csv
2026-06-22,LIT,002466 C2,TIANQI LITHIUM CORP-A,,BD5CKH8,5040093.0,48317841.29,2.57,USD,,,,equity,web_csv
2026-06-22,LIT,ENS,ENERSYS,,B020GQ5,190243.0,44315204.42,2.36,USD,,,,equity,web_csv
2026-06-22,LIT,MIN AU,MINERAL RESOURCES LTD,AU000000MIN4,B17ZL56,887478.0,41455002.45,2.21,USD,,,,equity,web_csv
2026-06-22,LIT,300450 C2,WUXI LEAD INTELLIGENT EQUI-A,,BD6QWJ5,5416710.0,37845275.78,2.02,USD,,,,equity,web_csv
2026-06-22,LIT,247540 KS,ECOPRO BM CO LTD,,BJ321P7,276564.0,29991685.4,1.6,USD,,,,equity,web_csv
2026-06-22,LIT,002812 C2,YUNNAN ENERGY NEW MATERIAL-A,,BFCCR30,2812059.0,29896098.77,1.59,USD,,,,equity,web_csv
2026-06-22,LIT,002738 C2,SINOMINE RESOURCE GROUP CO-A,CNE100001WV3,BNR4M32,3077256.0,28533556.69,1.52,USD,,,,equity,web_csv
2026-06-22,LIT,603659 C1,SHANGHAI PUTAILAI NEW ENERGY,,BF2DZJ5,4952828.0,22582282.27,1.2,USD,,,,equity,web_csv
2026-06-22,LIT,300207 C2,SUNWODA ELECTRONIC CO LTD-A,,BD5CCV6,6901691.0,21650846.33,1.15,USD,,,,equity,web_csv
2026-06-22,LIT,IGO AU,IGO LTD,AU000000IGO4,6439567,3518125.0,19583093.81,1.04,USD,,,,equity,web_csv
2026-06-22,LIT,LTR AU,LIONTOWN LTD,AU000000LTR4,B1J89V5,10658145.0,14196613.57,0.76,USD,,,,equity,web_csv
2026-06-22,LIT,066970 KS,L&F CO LTD,,6578608,148933.0,12178557.18,0.65,USD,,,,equity,web_csv
2026-06-22,LIT,002176 C2,JIANGXI SPECIAL ELECTRIC -A,,BD5CC72,7070540.0,11747543.99,0.63,USD,,,,equity,web_csv
2026-06-22,LIT,,CHINESE YUAN RENMINBI,,,62999571.37,9295948.32,0.49,USD,,,,fx,web_csv
2026-06-22,LIT,AMG NA,AMG CRITICAL MATERIALS N.V.,NL0000888691,B1Z95S1,179801.0,7523691.57,0.4,USD,,,,equity,web_csv
2026-06-22,LIT,LAC CN,LITHIUM AMERICAS CORP,CA53681J1030,BRBS357,1682553.0,7264272.77,0.39,USD,,,,equity,web_csv
2026-06-22,LIT,LAR CN,LITHIUM ARGENTINA AG,CH1403212751,BS891B2,715533.0,6416134.66,0.34,USD,,,,equity,web_csv
2026-06-22,LIT,ELV AU,ELEVRA LITHIUM LTD,AU0000421851,BVBM1M0,777732.0,6101120.34,0.33,USD,,,,equity,web_csv
2026-06-22,LIT,LCID,LUCID GROUP INC,,BVY4KF9,951028.0,4907304.48,0.26,USD,,,,equity,web_csv
2026-06-22,LIT,SGML,SIGMA LITHIUM CORP,CA8265991023,BNM4ZD8,288699.0,3839696.7,0.2,USD,,,,equity,web_csv
2026-06-22,LIT,SLI CN,STANDARD LITHIUM LTD,CA8536061010,BDSFRL7,1132639.0,3833621.26,0.2,USD,,,,equity,web_csv
2026-06-22,LIT,VUL AU,VULCAN ENERGY RESOURCES LTD,AU0000066086,BKYBH63,1656656.0,3832620.46,0.2,USD,,,,equity,web_csv
2026-06-22,LIT,PMET CN,PMET RESOURCES INC,,BRJJYV5,797946.0,3433784.02,0.18,USD,,,,equity,web_csv
