as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,asset_class,instrument_type,source
2026-06-17,4COP,ATYM LN,ATALAYA MINING COPPER SA,CY0106002112,BYZTVM8,762649.0,9080735.59,0.724,USD,,CY,,equity,web_csv
2026-06-17,4COP,BHP AU,BHP GROUP LTD,AU000000BHP4,6144690,1445034.0,66980756.63,5.341,USD,,AU,,equity,web_csv
2026-06-17,4COP,BOL SS,BOLIDEN AB,SE0020050417,BPYTZ57,973286.0,60451903.64,4.82,USD,,SE,,equity,web_csv
2026-06-17,4COP,BVR AU,BELLAVISTA RESOURCES LTD,AU0000216913,BNNFYB1,346617.0,94307.22,0.008,USD,,AU,,equity,web_csv
2026-06-17,4COP,CNL CN,COLLECTIVE MINING LTD,CA19425C1005,BN79Z49,301449.0,4401013.5,0.351,USD,,CA,,equity,web_csv
2026-06-17,4COP,CS CN,CAPSTONE COPPER CORP,CA14071L1085,BMY5XY9,4214257.0,45115182.63,3.597,USD,,CA,,equity,web_csv
2026-06-17,4COP,DVP AU,DEVELOP GLOBAL LTD,AU0000179707,BNVQGB0,1645975.0,8735696.24,0.697,USD,,AU,,equity,web_csv
2026-06-17,4COP,ERO CN,ERO COPPER CORP,CA2960061091,BF02Z72,629428.0,19298987.03,1.539,USD,,CA,,equity,web_csv
2026-06-17,4COP,FCX,FREEPORT-MCMORAN INC,US35671D8570,2352118,847638.0,58537880.28,4.668,USD,,US,,equity,web_csv
2026-06-17,4COP,FDY CN,FARADAY COPPER CORP,CA3073571034,BLNNJN8,1384935.0,5926545.9,0.473,USD,,CA,,equity,web_csv
2026-06-17,4COP,FFM AU,FIREFLY METALS LTD,AU0000313769,BPDXXB2,4734238.0,6925558.23,0.552,USD,,AU,,equity,web_csv
2026-06-17,4COP,FM CN,FIRST QUANTUM MINERALS LTD,CA3359341052,2347608,2032245.0,64325677.98,5.129,USD,,CA,,equity,web_csv
2026-06-17,4COP,GLEN LN,GLENCORE PLC,JE00B4T3BW64,B4T3BW6,7672051.0,59927141.2,4.778,USD,,JE,,equity,web_csv
2026-06-17,4COP,HBM CN,HUDBAY MINERALS INC,CA4436281022,B05BDX1,2322995.0,65907382.57,5.255,USD,,CA,,equity,web_csv
2026-06-17,4COP,IE,IVANHOE ELECTRIC INC / US,US46578C1080,BPF0KH6,777320.0,8900314.0,0.71,USD,,US,,equity,web_csv
2026-06-17,4COP,IVN CN,IVANHOE MINES LTD-CL A,CA46579R1047,BD73C40,5031968.0,43353664.82,3.457,USD,,CA,,equity,web_csv
2026-06-17,4COP,KGH PW,KGHM POLSKA MIEDZ SA,PLKGHM000017,5263251,649933.0,69606506.75,5.55,USD,,PL,,equity,web_csv
2026-06-17,4COP,LUN CN,LUNDIN MINING CORP,CA5503721063,2866857,1935545.0,53465271.98,4.263,USD,,CA,,equity,web_csv
2026-06-17,4COP,NDA GR,AURUBIS AG,DE0006766504,5485527,162745.0,38665729.85,3.083,USD,,DE,,equity,web_csv
2026-06-17,4COP,NDM CN,NORTHERN DYNASTY MINERALS,CA66510M2040,2637848,3485308.0,7482188.92,0.597,USD,,CA,,equity,web_csv
2026-06-17,4COP,NGEX CN,NGEX MINERALS LTD,CA62930A1021,BVBCQW5,891818.0,17160865.59,1.368,USD,,CA,,equity,web_csv
2026-06-17,4COP,OM CN,OSISKO METALS INC,CA6882741094,BYW9WY0,3803314.0,4991154.53,0.398,USD,,CA,,equity,web_csv
2026-06-17,4COP,SCCO,SOUTHERN COPPER CORP,US84265V1052,2823777,310482.0,59513189.76,4.745,USD,,US,,equity,web_csv
2026-06-17,4COP,SFR AU,SANDFIRE RESOURCES LTD,AU000000SFR8,6739739,2972187.0,45159481.07,3.601,USD,,AU,,equity,web_csv
2026-06-17,4COP,SLS CN,SOLARIS RESOURCES INC,CA83419D2014,BMQ5701,597270.0,5750763.14,0.459,USD,,CA,,equity,web_csv
2026-06-17,4COP,TECK/B CN,TECK RESOURCES LTD-CLS B,CA8787422044,2879327,1000868.0,66265299.51,5.284,USD,,CA,,equity,web_csv
2026-06-17,4COP,TGB,TASEKO MINES LTD,CA8765111064,2592066,2301273.0,17098458.39,1.363,USD,,CA,,equity,web_csv
2026-06-17,4COP,,OTHER PAYABLE & RECEIVABLES,,,5049983.37,5049983.37,0.403,USD,,,,cash,web_csv
2026-06-17,4COP,,BRITISH STERLING POUND,,,15420.54,20653.52,0.002,USD,,,,fx,web_csv
2026-06-17,4COP,,SAUDI RIYAL,,,71810.16,19134.07,0.002,USD,,,,fx,web_csv
2026-06-17,4COP,,EURO,,,1019.27,1181.28,0.0,USD,,,,fx,web_csv
2026-06-17,4COP,,AUSTRALIAN DOLLAR,,,525.52,371.38,0.0,USD,,,,fx,web_csv
2026-06-17,4COP,,SWEDISH KRONE,,,350.0,37.22,0.0,USD,,,,fx,web_csv
2026-06-17,4COP,,JAPANESE YEN,,,246.0,1.53,0.0,USD,,,,fx,web_csv
2026-06-17,4COP,,HONG KONG DOLLAR,,,0.12,0.02,0.0,USD,,,,fx,web_csv
2026-06-17,4COP,,CANADIAN DOLLAR,,,-994786.74,-709497.71,-0.057,USD,,,,fx,web_csv
2026-06-17,4COP,,CASH,CASH,,-2064450.73,-2064450.73,-0.165,USD,,,,cash,web_csv
2026-06-18,4COP,BHP AU,BHP GROUP LTD,AU000000BHP4,6144690,1445034.0,66127950.8,5.411,USD,,AU,,equity,web_csv
2026-06-18,4COP,KGH PW,KGHM POLSKA MIEDZ SA,PLKGHM000017,5263251,649933.0,65626243.46,5.369,USD,,PL,,equity,web_csv
2026-06-18,4COP,TECK/B CN,TECK RESOURCES LTD-CLS B,CA8787422044,2879327,1000868.0,64519993.88,5.279,USD,,CA,,equity,web_csv
2026-06-18,4COP,HBM CN,HUDBAY MINERALS INC,CA4436281022,B05BDX1,2322995.0,64164315.31,5.25,USD,,CA,,equity,web_csv
2026-06-18,4COP,ANTO LN,ANTOFAGASTA PLC,GB0000456144,0045614,1138665.0,62906250.55,5.147,USD,,GB,,equity,web_csv
2026-06-18,4COP,FM CN,FIRST QUANTUM MINERALS LTD,CA3359341052,2347608,2032245.0,62336861.04,5.1,USD,,CA,,equity,web_csv
2026-06-18,4COP,SCCO,SOUTHERN COPPER CORP,US84265V1052,2823777,310482.0,59901292.26,4.901,USD,,US,,equity,web_csv
2026-06-18,4COP,FCX,FREEPORT-MCMORAN INC,US35671D8570,2352118,847638.0,58215777.84,4.763,USD,,US,,equity,web_csv
2026-06-18,4COP,BOL SS,BOLIDEN AB,SE0020050417,BPYTZ57,973286.0,58040552.32,4.749,USD,,SE,,equity,web_csv
2026-06-18,4COP,GLEN LN,GLENCORE PLC,JE00B4T3BW64,B4T3BW6,7672051.0,57543178.33,4.708,USD,,JE,,equity,web_csv
2026-06-18,4COP,LUN CN,LUNDIN MINING CORP,CA5503721063,2866857,1935545.0,51392458.69,4.205,USD,,CA,,equity,web_csv
2026-06-18,4COP,2899 HK,ZIJIN MINING GROUP CO LTD-H,CNE100000502,6725299,11976683.0,49021325.35,4.011,USD,,CN,,equity,web_csv
2026-06-18,4COP,5713 JP,SUMITOMO METAL MINING CO LTD,JP3402600005,6858849,836475.0,48219772.94,3.945,USD,,JP,,equity,web_csv
2026-06-18,4COP,CS CN,CAPSTONE COPPER CORP,CA14071L1085,BMY5XY9,4214257.0,45457087.09,3.719,USD,,CA,,equity,web_csv
2026-06-18,4COP,SFR AU,SANDFIRE RESOURCES LTD,AU000000SFR8,6739739,2972187.0,44438718.99,3.636,USD,,AU,,equity,web_csv
2026-06-18,4COP,IVN CN,IVANHOE MINES LTD-CL A,CA46579R1047,BD73C40,5031968.0,41198024.07,3.371,USD,,CA,,equity,web_csv
2026-06-18,4COP,NDA GR,AURUBIS AG,DE0006766504,5485527,162745.0,36768709.44,3.008,USD,,DE,,equity,web_csv
2026-06-18,4COP,358 HK,JIANGXI COPPER CO LTD-H,CNE1000003K3,6000305,6492380.0,34012379.07,2.783,USD,,CN,,equity,web_csv
2026-06-18,4COP,2099 HK,CHINA GOLD INTERNATIONAL RES,CA16890P1036,B60FNV8,1527410.0,28628036.34,2.342,USD,,CA,,equity,web_csv
2026-06-18,4COP,1208 HK,MMG LTD,HK1208013172,6728793,25368069.0,26702719.47,2.185,USD,,HK,,equity,web_csv
2026-06-18,4COP,5711 JP,MITSUBISHI MATERIALS CORP,JP3903000002,6597089,794680.0,24211902.77,1.981,USD,,JP,,equity,web_csv
2026-06-18,4COP,ERO CN,ERO COPPER CORP,CA2960061091,BF02Z72,629428.0,18754230.65,1.534,USD,,CA,,equity,web_csv
2026-06-18,4COP,TGB,TASEKO MINES LTD,CA8765111064,2592066,2301273.0,16431089.22,1.344,USD,,CA,,equity,web_csv
2026-06-18,4COP,NGEX CN,NGEX MINERALS LTD,CA62930A1021,BVBCQW5,891818.0,16409526.99,1.343,USD,,CA,,equity,web_csv
2026-06-18,4COP,1258 HK,CHINA NONFERROUS MINING CORP,HK0000112026,B890GY2,8316494.0,14388453.0,1.177,USD,,HK,,equity,web_csv
2026-06-18,4COP,ALS CN,ALTIUS MINERALS CORPORATION,CA0209361009,2122355,297486.0,12590929.82,1.03,USD,,CA,,equity,web_csv
2026-06-18,4COP,3939 HK,WANGUO GOLD GROUP LTD,KYG9430L1150,BV106D0,7612030.0,9321862.69,0.763,USD,,KY,,equity,web_csv
2026-06-18,4COP,ATYM LN,ATALAYA MINING COPPER SA,CY0106002112,BYZTVM8,762649.0,8893512.32,0.728,USD,,CY,,equity,web_csv
2026-06-18,4COP,IE,IVANHOE ELECTRIC INC / US,US46578C1080,BPF0KH6,777320.0,8861448.0,0.725,USD,,US,,equity,web_csv
2026-06-18,4COP,DVP AU,DEVELOP GLOBAL LTD,AU0000179707,BNVQGB0,1645975.0,8106767.94,0.663,USD,,AU,,equity,web_csv
2026-06-18,4COP,NDM CN,NORTHERN DYNASTY MINERALS,CA66510M2040,2637848,3485308.0,7355938.84,0.602,USD,,CA,,equity,web_csv
2026-06-18,4COP,ASCU CN,ARIZONA SONORAN COPPER CO IN,CA04058Q1054,BMC50Y0,1088792.0,7225454.9,0.591,USD,,CA,,equity,web_csv
2026-06-18,4COP,AMAK AB,AL MASANE AL KOBRA MINING CO,SA15HG50KL10,BNNVLT6,337844.0,6872456.08,0.562,USD,,SA,,equity,web_csv
2026-06-18,4COP,FFM AU,FIREFLY METALS LTD,AU0000313769,BPDXXB2,4734238.0,6578754.1,0.538,USD,,AU,,equity,web_csv
2026-06-18,4COP,FDY CN,FARADAY COPPER CORP,CA3073571034,BLNNJN8,1384935.0,5620367.26,0.46,USD,,CA,,equity,web_csv
2026-06-18,4COP,SLS CN,SOLARIS RESOURCES INC,CA83419D2014,BMQ5701,597270.0,5334165.3,0.436,USD,,CA,,equity,web_csv
2026-06-18,4COP,OM CN,OSISKO METALS INC,CA6882741094,BYW9WY0,3803314.0,4767779.16,0.39,USD,,CA,,equity,web_csv
2026-06-18,4COP,ARG CN,AMERIGO RESOURCES LTD,CA03074G1090,2855822,887035.0,4309685.26,0.353,USD,,CA,,equity,web_csv
2026-06-18,4COP,1515 JP,NITTETSU MINING CO LTD,JP3680800004,6641027,268415.0,4308389.47,0.353,USD,,JP,,equity,web_csv
2026-06-18,4COP,CNL CN,COLLECTIVE MINING LTD,CA19425C1005,BN79Z49,301449.0,4150407.99,0.34,USD,,CA,,equity,web_csv
2026-06-18,4COP,,OTHER PAYABLE & RECEIVABLES,,,2060551.94,2060551.94,0.169,USD,,,,cash,web_csv
2026-06-18,4COP,,HONG KONG DOLLAR,,,3890891.04,496435.93,0.041,USD,,,,fx,web_csv
2026-06-18,4COP,BVR AU,BELLAVISTA RESOURCES LTD,AU0000216913,BNNFYB1,346617.0,92674.43,0.008,USD,,AU,,equity,web_csv
2026-06-18,4COP,,BRITISH STERLING POUND,,,15420.54,20434.57,0.002,USD,,,,fx,web_csv
2026-06-18,4COP,,CANADIAN DOLLAR,,,25721.71,18217.15,0.001,USD,,,,fx,web_csv
2026-06-18,4COP,,SAUDI RIYAL,,,28261.98,7529.9,0.001,USD,,,,fx,web_csv
2026-06-18,4COP,,EURO,,,1019.27,1170.73,0.0,USD,,,,fx,web_csv
2026-06-18,4COP,,AUSTRALIAN DOLLAR,,,525.52,369.76,0.0,USD,,,,fx,web_csv
2026-06-18,4COP,,SWEDISH KRONE,,,350.0,36.68,0.0,USD,,,,fx,web_csv
2026-06-18,4COP,,JAPANESE YEN,,,246.0,1.53,0.0,USD,,,,fx,web_csv
2026-06-18,4COP,,CASH,CASH,,-201342.52,-201342.52,-0.016,USD,,,,cash,web_csv
